Lead_Hip_FE,Lead_Knee_FE,Lead_Ankle_FE,Lead_Hip_VV,Lead_Knee_VV,Lead_Hip_IE,Lead_Knee_IE,Lead_Pelvis_Ant,Lead_Pelvis_Olb,Lead_Pelvis_IE,Trail_Hip_FE,Trail_Knee_FE,Trail_Ankle_FE,Trail_Hip_VV,Trail_Knee_VV,Trail_Hip_IE,Trail_Knee_IE,Trail_Pelvis_Ant,Trail_Pelvis_Olb,Trail_Pelvis_IE
37.82017888038406,13.079015504325207,-27.84494314927136,-7.440130560744488,-1.962294861003815,-8.184649056855218,3.849139946398213,18.284377212898885,-6.649546945363118,1.2825611731500923,27.354472656657453,18.55630198251219,15.183325929188252,5.525453431363863,-3.183796986735905,5.646653761344819,5.851880420838777,22.45653099912192,0.8359051241667229,5.178344355407413
37.67850147855701,13.731162079826005,-27.48112096964977,-7.627375200155248,-2.036723908961723,-8.90754984054393,4.03020842879772,18.35128787380132,-6.778588027169775,1.4500719222715306,27.24844916964204,18.66935579223217,15.389837754115382,5.635086377597968,-3.032298367398135,5.874911094281815,5.99058830525586,22.40991071566773,0.9342908429781718,5.239080190597107
37.52115178534558,14.427173551511952,-26.752091589790275,-7.814453095296598,-2.095005399823216,-9.56753552427226,4.290630067336768,18.42849459256268,-6.902465571992822,1.6307514408375945,27.150886981404444,18.799380656732858,15.606290173506114,5.759873203863181,-2.8715102979784386,6.095220537383234,6.124747467716103,22.360292928173024,1.050502656482544,5.299136716035821
37.35027712870517,15.161036052193714,-25.672292509796257,-7.999003437933749,-2.1326879101398144,-10.15607224718611,4.643288926973208,18.51718145471145,-7.018258267112044,1.8242672133955704,27.062796789031363,18.946883833417267,15.831682700333356,5.898704521175668,-2.7049097812210587,6.303854484941263,6.252858442392862,22.308331779290903,1.1817322662429903,5.356702239992363
37.16802483659114,15.92673571468193,-24.256161229771127,-8.178665419831912,-2.14532001646304,-10.664626148431385,5.101069072664886,18.618532545776105,-7.123044799807222,2.030286724492746,26.985189289609508,19.112372579688437,16.06501484757003,6.050470940551594,-2.535973819870238,6.497085331248085,6.373421763459489,22.254681411674483,1.3251713738226625,5.4099650707355496
36.97655183686702,16.718247299383115,-22.51835999797229,-8.351059990638225,-2.1284696434075103,-11.084706781130029,5.676753251990974,18.733724036469543,-7.2138928623308,2.2484666772784347,26.91894808460587,19.29615436283561,16.305219625613805,6.213898376010119,-2.36818971840031,6.671251276422426,6.485035126000253,22.20002688881417,1.477883879188974,5.457150030244651
36.7785698900028,17.52920272178893,-20.48305478530764,-8.51323533453939,-2.0783796698632893,-11.409616410047848,6.378249441127413,18.86366352659052,-7.287582420163521,2.477968931138593,26.864228896364303,19.497402305045743,16.550841036131906,6.386654889619338,-2.205040433140911,6.823085918706359,6.586873476037542,22.145230152099053,1.6361626140431582,5.496735183978338
36.578153911576905,18.35260803751257,-18.1944751432609,-8.66105063111579,-1.9926405416687296,-11.636029808169123,7.202367721396669,19.00878794440785,-7.340396254168707,2.716789879591766,26.820492746122785,19.71425246060272,16.800159123932943,6.565436930212805,-2.049795311903904,6.949808371394764,6.678528772447183,22.09126888665589,1.7957480690903822,5.527574051194528
36.38000432393777,19.18132657651868,-15.707700342105136,-8.78958527884141,-1.870026066602879,-11.76303742513719,8.136255828727757,19.169040270689813,-7.36844902687894,2.962022815121333,26.78654426234171,19.94389732494495,17.05130661246544,6.746086263565205,-1.9053298933074736,7.049215127514714,6.7598567215515954,22.03918049378268,1.952043458666844,5.548985344299654
36.18921936692532,20.008268412461288,-13.085607667541174,-8.893285462485862,-1.7104645258701836,-11.791823014179007,9.157835285265858,19.343851906437152,-7.367846363854205,3.2099012486110388,26.76050885853408,20.182602139137856,17.302345559438052,6.923686630347578,-1.773970424644273,7.119847337480965,6.8308667700594174,21.99000704821876,2.1002842162639936,5.560836233296299
36.0110269947564,20.82673686604492,-10.39499588248562,-8.966279284140143,-1.5150933277487533,-11.725837457961775,10.236495153956357,19.53210737973792,-7.334995943791037,3.45584697282409,26.739898405027624,20.42589170636673,17.551370955113903,7.092909133536803,-1.657429447276072,7.161082792015321,6.8915756152219645,21.944697923297937,2.235821553166034,5.563549295056079
35.850458667478925,21.63070285713908,-7.70173378419719,-9.002781587137012,-1.286002327338897,-11.57017092886842,11.336256037094389,19.7322350383874,-7.266858374802183,3.694769950712613,26.72170470457609,20.66874708301834,17.79658533386303,7.24834450752528,-1.5567814445717194,7.17318754330168,6.9419364240972055,21.90403863064862,2.354360236716405,5.558062459359993
35.71206283561109,22.41509675543078,-5.066857119830812,-8.997505450253886,-1.026262633650015,-11.331631077980989,12.418239452410736,19.94224795791728,-7.161277961878457,3.921247495255319,26.702492770270837,20.90580863925633,18.036361237772184,7.38490777107283,-1.4724679300564467,7.1574002754393975,6.9818029529051575,21.86857952750588,2.452212477184772,5.545750643280599
35.599642355028124,23.17601262660451,-2.54262669581504,-8.946209594725177,-0.7397586737349976,-11.018578361898104,13.44476463093326,20.159928224773967,-7.017270118386691,4.129953706288451,26.678519471217136,21.13162858575822,18.26927975091088,7.4983005415969,-1.4043855798972191,7.115953543823414,7.010942218765703,21.83856558202137,2.526534472081857,5.528307354131863
35.516065468976564,23.910753546494824,-0.1709048289310212,-8.845981596025393,-0.4311926916094736,-10.64083837733082,14.381969054461802,20.38290501695867,-6.835169733430064,4.315931234032931,26.645894812725334,21.34091984698317,18.49413909405049,7.585332246692259,-1.3519777472176513,7.051985691859789,7.029129273952452,21.813919401703565,2.5754685380683524,5.507611950036432
35.46302959501885,24.61788295725269,2.019177973469068,-8.695757457347405,-0.1061134896283035,-10.209901814864203,15.20341919105226,20.608842778170654,-6.61688167790093,4.4750382312617605,26.60074801729277,21.52879244128975,18.70995079511785,7.644201456435875,-1.3143470500901009,6.96945370458766,7.03623818690451,21.79424894521718,2.598235750157928,5.485573415142079
35.441040702002525,25.296858467565908,4.009878970800713,-8.496267528397546,0.2290633676433617,-9.738763402553907,15.891162426649396,20.83555527097771,-6.365703783758591,4.604173958221,26.539398035543787,21.690988642822767,18.91592500676413,7.674691485665791,-1.2903896867836158,6.872970078059337,7.032348254167873,21.778870817084915,2.5951694640628893,5.463990824549282
