Lead_Sol,Lead_Med_Gas,Lead_Lat_Gas,Lead_Lat_Ham,Lead_TA,Lead_Vas_Med,Lead_Vas_Lat,Lead_Glut_Med,Trail_Sol,Trail_Med_Gas,Trail_Lat_Gas,Trail_Lat_Ham,Trail_TA,Trail_Vas_Med,Trail_Vas_Lat,Trail_Glut_Med
0.1616492219369299,0.2096407933052564,0.2124616324810437,0.1485265748198258,0.1384045068135764,0.0396663658161917,0.0704470252728568,0.0710399976769966,0.0146105212311112,0.027259512257475,0.014362386136842,0.0455868618511247,0.0937817623997943,0.0812693661650615,0.0915541567909229,0.167324065018409
0.1547467131257879,0.2017802320236091,0.2043291118656565,0.1435345107676122,0.1423924138924817,0.0422170644683873,0.0789303094377762,0.0736408922505784,0.0162184512001228,0.027936565773541,0.0148509970581037,0.046280076494774,0.0981389157504641,0.0807479657869141,0.0903787332685705,0.1585041110150717
0.1476671108533139,0.1929580870349349,0.1961431027144741,0.1378440798018154,0.145450550510104,0.0447961185498194,0.0876165646974983,0.0757535620800487,0.017966732345796,0.0287319823746711,0.0152447272155584,0.0468869887277201,0.1023997484985527,0.0797939674433732,0.0890392349972707,0.1489185878288005
0.1407970481744249,0.1834926389910026,0.1880644810973116,0.1316101579011286,0.1473783935086919,0.0473454209688893,0.0962771213378784,0.077308468439455,0.0199216230644131,0.0296887571298405,0.0155821190975862,0.0473785244277792,0.1063553878935536,0.0783715579491403,0.0876257556363024,0.138809238851802
0.1344854508569604,0.1737460069705294,0.1801960935972186,0.125021146800924,0.1480700232767356,0.0498278716470989,0.1047307729200513,0.0782330240206614,0.022133138054441,0.0308104704112451,0.0159023942663189,0.047789282738471,0.1097749554232029,0.0764586509493021,0.0861799725785462,0.1284085496639286
0.1289768453335446,0.1640558259369155,0.1726396036799701,0.1183203002086213,0.1475855222268888,0.0522229558056674,0.1128350359067714,0.0785019272449995,0.024610687330118,0.0320804275259414,0.016230016137478,0.0481104015123615,0.1124174075837348,0.0740570828836369,0.0847196198842259,0.1179142817524011
0.124295733658017,0.1546381605295497,0.1654012817958123,0.1117271320876693,0.1461711348357875,0.0545191368446502,0.1204760980795638,0.0781565028049568,0.0273228413214054,0.033485277397389,0.0165776107962873,0.048289939700637,0.1142230144735852,0.0712647772250426,0.0832966720135507,0.1075681147816308
0.1202930191665517,0.1456104164606537,0.1584396251696339,0.105468749163941,0.1441774808345003,0.0567274125251479,0.1275669615401257,0.0772314023062285,0.0301775693926185,0.0349794654884469,0.0169377176826745,0.0482674846218322,0.115427098280634,0.0681880203865102,0.081957196599997,0.0977391081202605
0.1167963563471374,0.137078819305591,0.1517196065828654,0.0997541655551124,0.1419100706253811,0.0588621342057075,0.1340722853170857,0.0758004860567992,0.0330002524067193,0.0364424827222924,0.017267050595267,0.0480030507520389,0.1163056049626099,0.0649172525537712,0.0806443150752032,0.0888483865722523
0.113623005211764,0.1291727143831635,0.1452344091395662,0.0947879562088892,0.1395541254893978,0.0609140103040548,0.1399969096184227,0.0739999072570878,0.0355332301299045,0.0376746728137615,0.0174837601400485,0.0474788628942263,0.1171314665988156,0.0615394147071924,0.0792174826633323,0.0812859263806634
